epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,742.663,0.38209,1.40357,0.49298,0.29778,1.08767,0.99964,1,0.995,0.95265,0.44538,0.44545,0.29917,0.0376,0.33692,4.03492,0.02435,0.28067,1.08861,0.00152727,0.00152727,0.00152727
28,769.371,0.37577,1.32064,0.47705,0.27662,1.09389,0.9996,1,0.995,0.9597,0.48768,0.48788,0.29509,0.04097,0.31638,4.03428,0.0092,0.25827,0.99132,0.00149374,0.00149374,0.00149374
29,795.812,0.4029,1.26217,0.4773,0.28374,1.10182,0.99942,1,0.995,0.97088,0.52096,0.52121,0.33792,0.04073,0.27863,4.01822,0.01866,0.26963,0.94613,0.00145945,0.00145945,0.00145945
30,822.298,0.35777,1.2019,0.47346,0.26381,1.07307,0.9997,1,0.995,0.96509,0.49689,0.49697,0.31187,0.03855,0.29265,3.99424,0.01243,0.24082,0.96661,0.00142447,0.00142447,0.00142447
31,848.786,0.35898,1.17649,0.44946,0.26121,1.06933,0.99953,1,0.995,0.96704,0.60291,0.60303,0.48669,0.07216,0.29043,4.06712,0.11781,0.24008,0.95777,0.00138886,0.00138886,0.00138886
32,875.877,0.35898,1.1529,0.44899,0.26553,1.07252,0.99853,1,0.995,0.96671,0.53686,0.54848,0.39445,0.04991,0.30911,4.01343,0.04067,0.25022,1.01206,0.00135266,0.00135266,0.00135266
33,902.31,0.35951,1.11344,0.45211,0.25408,1.06976,0.9998,1,0.995,0.98399,0.47567,0.47576,0.30741,0.04154,0.26841,3.9818,0.01514,0.2286,0.91937,0.00131593,0.00131593,0.00131593
34,928.789,0.3404,1.13706,0.4406,0.25244,1.05656,0.99913,1,0.995,0.98174,0.49663,0.49697,0.30688,0.04576,0.24792,3.98303,0.00898,0.2226,0.88771,0.00127873,0.00127873,0.00127873
35,955.289,0.33515,1.05656,0.44807,0.2463,1.05225,0.99981,1,0.995,0.97984,0.55798,0.55758,0.45038,0.07493,0.27262,3.9068,0.08834,0.22821,0.93293,0.00124111,0.00124111,0.00124111
36,982.211,0.3481,0.97187,0.44639,0.24777,1.05722,0.99977,1,0.995,0.97899,0.70596,0.70606,0.56914,0.12007,0.28542,3.47583,0.0436,0.23464,0.95262,0.00120314,0.00120314,0.00120314
